Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,80,74,Sandy,Cotton,87,2,87,MOP
38,80,64,Black,Wheat,35,31,19,NPK
36,43,28,Sandy,Wheat,10,4,1,NPK
25,41,49,Sandy,Wheat,58,76,74,Compost
34,36,54,Sandy,Wheat,45,52,69,Compost
34,79,27,Loamy,Wheat,33,20,83,NPK
24,61,49,Black,Wheat,63,50,47,Compost
25,56,42,Loamy,Maize,58,89,48,Compost
27,54,44,Red,Cotton,40,14,7,NPK
21,85,43,Sandy,Rice,75,100,37,DAP
22,89,28,Loamy,Rice,21,12,33,NPK
21,31,48,Loamy,Sugarcane,55,13,68,MOP
22,78,61,Loamy,Rice,92,31,98,MOP
23,37,75,Clayey,Maize,16,21,56,NPK
40,53,47,Black,Maize,43,39,43,MOP
22,32,33,Red,Maize,84,20,55,MOP
29,73,39,Red,Maize,70,4,85,MOP
29,86,47,Loamy,Rice,89,71,97,Compost
26,88,24,Red,Wheat,45,45,57,Compost
26,50,47,Clayey,Rice,71,90,63,Compost
21,67,53,Clayey,Rice,51,20,42,MOP
32,60,71,Black,Cotton,38,51,95,Urea
33,43,75,Red,Wheat,0,1,69,NPK
25,37,60,Loamy,Rice,78,75,94,Compost
25,31,60,Clayey,Maize,3,1,60,NPK
31,65,48,Loamy,Rice,54,73,50,Compost
33,48,44,Clayey,Maize,11,90,44,Urea
35,71,48,Red,Maize,30,30,90,NPK
33,57,26,Sandy,Sugarcane,96,33,13,NPK
28,55,61,Black,Sugarcane,44,48,20,DAP
31,77,57,Clayey,Cotton,54,56,51,Compost
24,48,76,Clayey,Wheat,71,44,98,Compost
25,80,52,Sandy,Maize,28,57,41,Urea
23,89,70,Red,Wheat,95,83,21,DAP
38,47,41,Clayey,Maize,3,69,78,Urea
27,48,44,Red,Maize,71,21,90,MOP
26,79,48,Sandy,Sugarcane,2,72,89,Urea
36,48,39,Sandy,Cotton,47,38,48,MOP
23,66,40,Black,Maize,99,89,29,DAP
36,90,62,Loamy,Cotton,54,57,93,Compost
24,74,64,Black,Maize,74,91,1,DAP
30,89,42,Sandy,Wheat,37,61,7,NPK
21,40,42,Clayey,Sugarcane,78,44,99,Compost
23,83,20,Clayey,Sugarcane,71,35,13,NPK
40,58,22,Loamy,Maize,35,48,28,NPK
31,62,57,Loamy,Sugarcane,45,16,89,MOP
20,89,51,Clayey,Rice,41,71,83,Compost
22,59,66,Clayey,Maize,73,20,8,NPK
20,82,44,Clayey,Wheat,15,14,10,NPK
33,40,28,Clayey,Wheat,63,54,54,Compost
20,57,20,Clayey,Sugarcane,15,65,29,NPK
39,68,77,Red,Sugarcane,93,79,35,DAP
21,61,63,Red,Cotton,17,46,66,Urea
26,60,63,Clayey,Sugarcane,97,60,88,Compost
29,85,50,Black,Wheat,48,22,25,NPK
22,85,73,Red,Wheat,82,80,19,DAP
40,48,53,Black,Sugarcane,88,63,84,Compost
34,80,25,Black,Cotton,81,92,30,DAP
21,41,79,Black,Cotton,23,4,51,NPK
36,82,65,Loamy,Maize,55,48,38,DAP
26,59,67,Black,Rice,14,6,27,NPK
39,71,65,Clayey,Sugarcane,23,92,23,NPK
22,38,73,Black,Sugarcane,30,8,85,NPK
33,45,48,Clayey,Rice,32,10,37,NPK
28,87,41,Sandy,Maize,35,7,75,NPK
21,68,55,Black,Cotton,42,59,88,Compost
28,30,32,Black,Maize,62,52,37,DAP
32,51,49,Red,Sugarcane,12,23,55,NPK
24,86,53,Sandy,Wheat,16,54,15,NPK
27,30,43,Sandy,Maize,92,54,54,Compost
40,62,52,Black,Maize,29,29,35,NPK
26,67,60,Sandy,Maize,22,87,42,Urea
30,75,45,Loamy,Maize,94,93,61,Compost
26,35,23,Sandy,Cotton,67,79,13,DAP
28,70,26,Black,Sugarcane,95,86,86,Compost
31,35,51,Red,Rice,35,2,94,NPK
34,88,75,Red,Maize,78,10,59,MOP
27,70,43,Loamy,Maize,7,82,35,NPK
26,60,78,Clayey,Wheat,21,39,35,NPK
39,55,75,Black,Cotton,100,2,58,MOP
38,32,30,Black,Cotton,74,57,33,DAP
30,34,77,Red,Maize,77,38,21,NPK
39,50,25,Black,Rice,51,92,31,DAP
35,50,49,Red,Rice,94,2,55,MOP
23,38,33,Sandy,Cotton,11,16,65,NPK
34,62,21,Loamy,Cotton,94,81,68,Compost
40,74,22,Loamy,Sugarcane,63,93,72,Compost
30,40,31,Black,Rice,44,43,9,DAP
22,37,74,Red,Cotton,78,88,84,Compost
38,34,35,Sandy,Rice,9,0,50,NPK
24,78,38,Sandy,Cotton,51,99,33,DAP
25,44,50,Black,Rice,86,23,57,MOP
27,72,25,Red,Cotton,53,39,52,MOP
27,75,52,Red,Sugarcane,21,96,16,NPK
31,51,67,Clayey,Rice,89,22,85,MOP
27,61,39,Clayey,Maize,4,96,54,Urea
21,47,79,Loamy,Maize,84,9,64,MOP
32,58,33,Sandy,Rice,37,51,22,NPK
37,54,27,Loamy,Wheat,56,68,48,Compost
32,82,28,Black,Maize,86,46,67,Compost
28,77,20,Loamy,Rice,12,50,44,Urea
28,34,22,Clayey,Maize,36,91,61,Urea
32,54,69,Black,Wheat,31,6,18,NPK
27,77,76,Loamy,Sugarcane,90,98,4,DAP
28,62,48,Loamy,Rice,31,10,54,NPK
22,62,49,Sandy,Wheat,65,55,61,Compost
21,88,42,Black,Rice,66,19,31,NPK
32,89,27,Sandy,Cotton,11,50,39,NPK
35,36,62,Red,Cotton,100,13,47,MOP
29,87,37,Black,Maize,82,70,44,Compost
23,34,47,Red,Sugarcane,41,30,83,MOP
20,65,29,Clayey,Cotton,14,5,10,NPK
34,60,64,Black,Cotton,11,91,0,NPK
33,44,78,Loamy,Sugarcane,59,3,97,MOP
28,74,68,Black,Cotton,94,8,9,NPK
31,30,39,Sandy,Rice,74,97,48,Compost
35,73,23,Sandy,Sugarcane,4,13,56,NPK
36,77,71,Black,Sugarcane,80,11,42,MOP
32,64,28,Black,Sugarcane,92,6,66,MOP
24,70,64,Black,Rice,26,97,73,Urea
34,82,68,Loamy,Rice,86,62,19,DAP
27,58,55,Loamy,Wheat,98,92,74,Compost
40,90,58,Clayey,Wheat,75,96,99,Compost
32,43,71,Sandy,Rice,89,0,9,NPK
26,41,56,Red,Sugarcane,41,74,86,Compost
38,37,46,Sandy,Wheat,75,22,24,NPK
34,32,55,Black,Maize,54,35,51,MOP
35,70,23,Clayey,Rice,47,30,60,MOP
35,85,64,Clayey,Sugarcane,31,52,23,NPK
31,70,49,Sandy,Maize,21,14,16,NPK
23,59,71,Red,Cotton,12,48,53,Urea
22,70,65,Clayey,Maize,88,74,17,DAP
29,75,77,Red,Wheat,38,22,64,NPK
32,71,60,Clayey,Wheat,28,63,61,Urea
26,36,42,Black,Rice,18,27,41,NPK
20,77,27,Loamy,Maize,51,41,45,Compost
31,74,46,Loamy,Rice,41,16,17,NPK
25,49,37,Sandy,Maize,22,66,48,Urea
21,89,63,Sandy,Cotton,57,8,100,MOP
32,51,30,Sandy,Maize,74,31,7,NPK
29,48,67,Sandy,Cotton,18,20,74,NPK
22,52,24,Black,Wheat,13,91,6,NPK
25,43,63,Sandy,Maize,5,57,40,Urea
20,67,55,Loamy,Cotton,14,31,39,NPK
21,59,38,Loamy,Wheat,98,27,21,NPK
28,52,64,Loamy,Cotton,31,84,55,Urea
26,84,38,Clayey,Rice,55,47,33,DAP
27,49,54,Clayey,Wheat,42,1,89,MOP
30,44,25,Sandy,Maize,25,41,5,NPK
32,73,67,Black,Wheat,81,94,8,DAP
23,35,38,Sandy,Cotton,8,14,54,NPK
34,51,79,Red,Sugarcane,55,37,12,NPK
34,73,38,Loamy,Maize,58,32,43,MOP
38,71,56,Clayey,Rice,26,96,24,NPK
34,43,30,Sandy,Maize,54,67,40,Compost
34,65,30,Black,Rice,5,86,31,NPK
31,73,74,Loamy,Cotton,2,59,35,NPK
22,80,74,Black,Cotton,53,83,60,Compost
32,43,72,Loamy,Maize,61,2,14,NPK
28,57,30,Clayey,Maize,89,26,37,NPK
25,49,42,Black,Sugarcane,77,49,52,Compost
28,79,75,Black,Sugarcane,77,60,35,DAP
40,84,24,Sandy,Maize,93,17,25,NPK
30,86,74,Sandy,Maize,46,15,63,MOP
38,67,40,Black,Sugarcane,88,6,27,NPK
35,72,31,Red,Cotton,78,6,34,NPK
24,72,61,Red,Maize,12,76,93,Urea
20,61,69,Black,Wheat,65,0,12,NPK
39,54,60,Black,Cotton,4,73,56,Urea
23,60,72,Loamy,Cotton,70,68,67,Compost
32,78,57,Black,Wheat,84,62,39,DAP
36,55,73,Clayey,Cotton,34,100,30,NPK
22,85,31,Black,Sugarcane,80,91,35,DAP
36,43,30,Loamy,Cotton,93,73,48,Compost
27,40,59,Red,Maize,49,6,86,MOP
27,33,24,Clayey,Rice,16,42,6,NPK
36,65,64,Sandy,Rice,56,0,82,MOP
29,82,70,Black,Sugarcane,55,86,24,DAP
37,61,70,Black,Wheat,47,29,48,MOP
35,61,40,Clayey,Wheat,79,73,25,DAP
21,70,80,Sandy,Sugarcane,25,0,81,NPK
36,64,71,Loamy,Cotton,26,82,3,NPK
38,44,71,Loamy,Sugarcane,48,100,98,Compost
39,57,44,Loamy,Cotton,25,29,43,NPK
27,86,47,Loamy,Sugarcane,86,75,40,Compost
34,67,64,Red,Sugarcane,86,2,5,NPK
25,40,28,Red,Maize,83,41,8,DAP
24,87,46,Clayey,Wheat,60,48,83,Compost
40,67,36,Loamy,Cotton,3,58,40,Urea
22,72,58,Red,Sugarcane,7,9,15,NPK
21,78,33,Black,Maize,71,37,59,MOP
31,61,36,Red,Cotton,47,31,59,MOP
35,88,61,Red,Maize,51,15,78,MOP
36,58,76,Black,Rice,25,81,21,NPK
28,58,45,Black,Sugarcane,65,40,62,Compost
31,36,44,Clayey,Rice,16,68,73,Urea
25,45,63,Clayey,Wheat,81,21,6,NPK
35,39,35,Clayey,Sugarcane,28,15,87,NPK
35,61,47,Black,Wheat,5,69,56,Urea
21,50,51,Clayey,Sugarcane,38,9,47,NPK
20,56,21,Black,Rice,12,27,56,NPK
31,55,30,Clayey,Maize,12,62,28,NPK
30,59,42,Black,Sugarcane,5,43,68,Urea
32,37,24,Clayey,Rice,89,54,14,DAP
24,70,70,Loamy,Rice,54,58,68,Compost
28,49,49,Black,Sugarcane,90,76,82,Compost
27,63,74,Clayey,Rice,53,72,0,DAP
28,79,61,Black,Rice,30,17,23,NPK
21,80,28,Clayey,Cotton,36,18,59,NPK
40,37,29,Loamy,Wheat,62,8,40,MOP
23,58,33,Sandy,Cotton,30,14,51,NPK
26,84,43,Loamy,Sugarcane,15,25,15,NPK
27,83,64,Clayey,Cotton,13,73,25,NPK
40,87,61,Loamy,Wheat,45,65,85,Compost
33,45,47,Sandy,Rice,9,59,44,Urea
36,74,72,Sandy,Wheat,16,66,89,Urea
32,90,60,Clayey,Sugarcane,29,88,17,NPK
23,32,29,Clayey,Sugarcane,61,87,5,DAP
37,39,70,Sandy,Sugarcane,12,79,99,Urea
24,37,37,Loamy,Maize,52,4,38,NPK
37,86,26,Sandy,Wheat,5,83,17,NPK
39,57,23,Black,Wheat,75,20,32,NPK
37,58,75,Clayey,Wheat,27,99,25,NPK
21,51,59,Red,Wheat,32,17,38,NPK
30,66,28,Black,Cotton,24,60,15,NPK
38,30,31,Loamy,Maize,40,14,88,MOP
33,60,60,Sandy,Maize,88,97,73,Compost
34,71,32,Loamy,Maize,97,92,5,DAP
21,43,47,Red,Cotton,65,54,60,Compost
31,78,38,Loamy,Rice,52,98,11,DAP
38,59,66,Clayey,Cotton,92,29,1,NPK
36,58,80,Loamy,Maize,49,15,10,NPK
30,65,30,Black,Maize,76,78,97,Compost
39,87,72,Red,Rice,33,36,37,NPK
30,81,49,Black,Rice,87,60,31,DAP
39,89,78,Sandy,Maize,68,88,42,Compost
33,31,59,Sandy,Sugarcane,8,58,53,Urea
20,52,27,Black,Wheat,42,35,64,MOP
23,54,71,Black,Rice,34,43,54,Urea
22,78,22,Clayey,Wheat,2,44,92,Urea
32,47,67,Sandy,Cotton,84,66,63,Compost
37,76,43,Black,Cotton,1,53,14,NPK
27,56,69,Loamy,Cotton,30,76,57,Urea
31,34,33,Loamy,Wheat,77,50,67,Compost
38,34,32,Loamy,Wheat,98,12,61,MOP
31,49,44,Clayey,Maize,22,69,84,Urea
37,72,67,Red,Wheat,58,20,45,MOP
26,83,32,Loamy,Cotton,66,21,49,MOP
22,41,51,Clayey,Cotton,22,100,1,NPK
37,40,59,Clayey,Rice,22,21,66,NPK
28,44,64,Clayey,Rice,41,24,82,MOP
35,56,44,Loamy,Rice,78,68,3,DAP
23,39,71,Black,Rice,67,63,72,Compost
39,63,51,Clayey,Rice,9,49,38,NPK
39,57,25,Sandy,Cotton,9,9,32,NPK
24,31,66,Red,Wheat,78,50,19,DAP
38,74,62,Red,Wheat,97,38,14,NPK
40,34,51,Loamy,Rice,58,8,98,MOP
36,58,47,Red,Wheat,95,3,62,MOP
39,57,51,Black,Maize,91,92,44,Compost
22,89,73,Clayey,Maize,87,44,93,Compost
21,85,58,Sandy,Wheat,47,32,32,NPK
30,69,28,Loamy,Sugarcane,93,21,100,MOP
23,62,72,Loamy,Rice,12,21,23,NPK
27,76,29,Sandy,Maize,29,47,91,Urea
25,51,38,Clayey,Sugarcane,53,64,86,Compost
33,62,55,Sandy,Maize,73,0,6,NPK
36,74,28,Clayey,Maize,94,85,30,DAP
26,50,26,Loamy,Sugarcane,48,45,93,Compost
21,85,64,Loamy,Rice,83,46,73,Compost
31,67,59,Loamy,Wheat,93,34,54,MOP
22,71,36,Sandy,Wheat,4,89,56,Urea
33,34,34,Black,Wheat,62,13,93,MOP
24,35,43,Sandy,Maize,29,21,76,NPK
23,38,65,Red,Maize,23,81,8,NPK
23,44,35,Red,Rice,40,56,7,DAP
38,33,73,Red,Rice,98,70,5,DAP
40,41,35,Red,Cotton,86,43,84,Compost
30,48,46,Red,Sugarcane,40,5,14,NPK
23,41,25,Loamy,Wheat,22,32,16,NPK
29,81,53,Loamy,Rice,3,77,50,Urea
25,35,26,Red,Wheat,87,65,82,Compost
26,89,64,Red,Sugarcane,92,67,83,Compost
31,65,28,Loamy,Wheat,77,52,41,Compost
35,87,22,Red,Maize,22,53,7,NPK
23,42,35,Red,Rice,4,94,91,Urea
33,82,21,Red,Maize,39,25,81,NPK
33,83,39,Black,Cotton,22,52,80,Urea
27,74,58,Red,Wheat,67,31,17,NPK
22,62,45,Sandy,Sugarcane,17,84,29,NPK
23,71,80,Clayey,Rice,66,89,32,DAP
30,76,25,Red,Wheat,76,3,28,NPK
21,44,32,Black,Wheat,77,98,26,DAP
36,39,38,Red,Rice,97,32,12,NPK
37,56,37,Clayey,Cotton,23,20,5,NPK
30,69,42,Black,Sugarcane,92,68,87,Compost
23,58,64,Black,Cotton,64,91,44,Compost
31,85,80,Sandy,Sugarcane,45,44,89,Compost
29,84,45,Red,Wheat,3,0,69,NPK
25,40,27,Black,Sugarcane,29,90,63,Urea
37,81,57,Red,Wheat,10,83,96,Urea
36,48,65,Clayey,Cotton,28,59,27,NPK
20,54,75,Red,Wheat,9,4,4,NPK
27,81,34,Loamy,Maize,71,79,100,Compost
34,66,56,Clayey,Wheat,9,6,56,NPK
29,34,67,Red,Sugarcane,92,8,1,NPK
34,44,44,Clayey,Rice,80,11,8,NPK
34,78,70,Red,Sugarcane,41,9,52,MOP
25,40,48,Clayey,Cotton,57,75,68,Compost
39,49,28,Black,Sugarcane,76,24,64,MOP
33,72,46,Clayey,Maize,79,96,53,Compost
26,76,68,Red,Rice,27,78,20,NPK
23,36,51,Sandy,Sugarcane,65,51,28,DAP
31,63,36,Black,Wheat,55,47,64,Compost
35,86,39,Sandy,Wheat,80,23,93,MOP
36,35,47,Clayey,Wheat,88,63,41,Compost
28,87,42,Black,Cotton,93,23,30,NPK
24,55,44,Clayey,Wheat,97,59,5,DAP
21,34,36,Black,Maize,59,83,39,DAP
30,47,75,Loamy,Rice,25,48,81,Urea
25,62,60,Loamy,Wheat,47,3,86,MOP
30,56,68,Loamy,Maize,89,34,32,NPK
40,69,73,Sandy,Rice,91,21,5,NPK
38,60,33,Sandy,Wheat,66,2,8,NPK
35,62,28,Red,Cotton,50,35,43,MOP
39,35,32,Black,Sugarcane,25,79,79,Urea
28,54,59,Red,Rice,54,15,50,MOP
37,87,76,Black,Rice,82,31,20,NPK
28,68,47,Red,Rice,20,76,74,Urea
38,45,53,Red,Maize,21,60,13,NPK
31,73,26,Loamy,Sugarcane,39,88,17,NPK
32,37,38,Sandy,Sugarcane,47,43,4,DAP
28,39,63,Clayey,Wheat,9,67,64,Urea
40,30,60,Red,Sugarcane,8,61,8,NPK
25,67,77,Clayey,Wheat,64,7,61,MOP
23,48,37,Sandy,Cotton,44,8,91,MOP
26,78,31,Clayey,Maize,66,9,80,MOP
37,71,26,Sandy,Wheat,86,84,6,DAP
22,86,80,Sandy,Rice,19,68,74,Urea
24,60,54,Red,Maize,19,90,85,Urea
23,69,72,Loamy,Sugarcane,80,99,41,Compost
29,71,25,Red,Rice,81,3,61,MOP
26,58,27,Sandy,Maize,22,53,32,NPK
29,63,69,Black,Cotton,8,44,94,Urea
33,83,43,Clayey,Cotton,17,64,79,Urea
28,80,40,Red,Cotton,18,40,76,Urea
31,31,21,Loamy,Rice,22,41,6,NPK
28,86,69,Red,Wheat,54,20,33,NPK
24,65,58,Loamy,Maize,11,63,77,Urea
37,40,61,Loamy,Rice,53,15,13,NPK
39,70,38,Black,Rice,64,32,38,NPK
35,36,72,Sandy,Wheat,51,10,63,MOP
40,78,69,Sandy,Sugarcane,54,39,6,NPK
20,61,61,Red,Maize,66,31,60,MOP
31,88,50,Loamy,Maize,32,23,12,NPK
38,31,36,Red,Maize,0,39,45,NPK
31,36,54,Black,Maize,72,87,1,DAP
31,62,63,Red,Wheat,37,86,85,Urea
28,62,34,Sandy,Wheat,55,44,40,Compost
25,81,69,Black,Wheat,36,18,3,NPK
33,55,74,Black,Rice,58,77,79,Compost
39,31,64,Sandy,Cotton,83,29,80,MOP
40,69,59,Loamy,Wheat,93,13,7,NPK
24,90,79,Red,Cotton,66,76,13,DAP
35,33,72,Red,Sugarcane,47,31,56,MOP
30,86,35,Clayey,Cotton,46,39,93,MOP
34,71,20,Sandy,Cotton,35,15,20,NPK
35,61,32,Loamy,Sugarcane,26,37,53,NPK
39,87,69,Sandy,Cotton,45,45,25,DAP
22,48,75,Sandy,Cotton,70,47,67,Compost
29,52,41,Red,Sugarcane,32,76,40,Urea
28,61,63,Sandy,Sugarcane,54,21,13,NPK
35,62,37,Red,Sugarcane,90,12,88,MOP
35,59,55,Clayey,Wheat,95,69,72,Compost
20,88,35,Black,Rice,23,23,68,NPK
20,55,29,Sandy,Cotton,91,59,48,Compost
21,79,38,Loamy,Cotton,68,77,34,DAP
33,47,62,Clayey,Maize,78,62,69,Compost
22,46,63,Black,Maize,35,41,96,Urea
34,56,71,Red,Cotton,78,68,57,Compost
25,85,70,Black,Maize,79,78,60,Compost
20,89,64,Sandy,Maize,82,53,54,Compost
32,45,75,Black,Rice,40,7,93,MOP
30,60,71,Sandy,Cotton,36,74,87,Urea
29,55,46,Sandy,Maize,51,53,70,Compost
25,58,23,Clayey,Sugarcane,86,11,21,NPK
23,59,39,Sandy,Wheat,84,56,13,DAP
36,84,51,Sandy,Cotton,14,18,81,NPK
21,45,80,Loamy,Maize,8,82,76,Urea
37,70,76,Loamy,Cotton,96,22,78,MOP
38,44,27,Clayey,Wheat,23,48,79,Urea
31,54,22,Black,Sugarcane,63,23,83,MOP
40,41,45,Sandy,Wheat,5,81,41,Urea
27,87,49,Sandy,Maize,32,80,67,Urea
32,55,78,Black,Rice,2,79,40,Urea
26,83,40,Red,Cotton,81,95,66,Compost
23,90,60,Red,Maize,19,52,47,Urea
40,58,63,Loamy,Rice,39,61,22,NPK
34,66,54,Clayey,Maize,27,56,45,Urea
23,67,59,Clayey,Sugarcane,12,49,4,NPK
36,50,48,Black,Wheat,46,35,93,MOP
21,68,50,Red,Cotton,0,80,35,NPK
37,78,41,Red,Maize,59,4,54,MOP
34,51,45,Clayey,Wheat,38,1,28,NPK
35,76,78,Sandy,Sugarcane,33,2,62,NPK
25,81,49,Sandy,Rice,50,83,64,Compost
24,88,28,Clayey,Rice,60,19,39,NPK
27,75,53,Clayey,Rice,93,57,4,DAP
38,40,39,Clayey,Wheat,39,98,73,Urea
22,65,43,Sandy,Sugarcane,67,67,86,Compost
40,76,34,Red,Rice,45,26,66,MOP
40,70,23,Red,Rice,8,41,6,NPK
31,46,26,Black,Maize,100,93,65,Compost
30,70,43,Loamy,Cotton,3,48,5,NPK
